"Location","Date","Depth","Elevation","Density","RD"
"KOCH CREEK",2011-05-01,254,1813,38,"Central Kootenay"
"ST. LEON CREEK",2011-05-01,396,1828,43,"Central Kootenay"
"CHAR CREEK",2011-05-01,168,1290,37,"Central Kootenay"
"SILVER STAR MOUNTAIN",2011-05-01,236,1834,41,"North Okanagan"
"KIMBERLEY (UPPER) VOR",2011-05-02,170,2148,33,"Central Kootenay"
"KIMBERLEY (MIDDLE) VOR",2011-05-02,105,1692,37,"Central Kootenay"
"POSTILL LAKE (UPPER)",2011-05-02,81,1500,31,"Central Okanagan"
"LOST HORSE MOUNTAIN",2011-05-02,95,1988,39,"Okanagan-Similkameen"
"MOUNT JOFFRE",2011-05-03,157,1763,36,"East Kootenay"
"MOUNT TEMPLEMAN",2011-05-03,289,1879,44,"Central Kootenay"
"BRENDA MINE",2011-05-03,89,1453,38,"Central Okanagan"
"MACDONALD LAKE",2011-05-03,153,1742,38,"Central Okanagan"
"GROUSE MOUNTAIN",2011-05-03,443,1126,45,"Greater Vancouver"
"STAVE LAKE",2011-05-04,510,1211,46,"Fraser Valley"
"WAHLEACH LAKE",2011-05-04,252,1395,39,"Fraser Valley"
"NAHATLATCH RIVER",2011-05-04,472,1530,50,"Fraser Valley"
"DICKSON LAKE",2011-05-04,497,1147,46,"Fraser Valley"
"PALISADE LAKE",2011-05-04,470,898,48,"Greater Vancouver"
"ORCHID LAKE",2011-05-04,596,1178,50,"Greater Vancouver"
"GREYBACK RESERVOIR",2011-05-05,98,1548,36,"Okanagan-Similkameen"
"GRAYSTOKE LAKE",2011-05-06,141,1818,31,"Central Okanagan"
"ADAMS RIVER",2011-05-14,216,1769,38,"Columbia-Shuswap"
"TROPHY MOUNTAIN",2011-05-14,186,1907,37,"Thompson-Nicola"
"ORCHID LAKE",2011-05-31,495,1178,52,"Greater Vancouver"
"GRAYSTOKE LAKE",2011-12-29,58,1818,22,"Central Okanagan"
"GERMANSEN (UPPER)",2012-01-04,107,1489,27,"Bulkley-Nechako"
"JOHANSON LAKE",2012-01-04,96,1480,24,"Kitimat-Stikine"
"WAHLEACH LAKE",2012-01-10,72,1395,31,"Fraser Valley"
"GERMANSEN (UPPER)",2012-01-27,120,1489,27,"Bulkley-Nechako"
"JOHANSON LAKE",2012-01-27,103,1480,26,"Kitimat-Stikine"
"TERRACE AIRPORT",2012-01-27,200,219,17,"Kitimat-Stikine"
"PUNTZI MOUNTAIN",2012-01-30,6,939,27,"Cariboo"
"NINGUNSAW PASS",2012-01-30,171,647,27,"Kitimat-Stikine"
"ISKUT",2012-01-30,57,931,13,"Kitimat-Stikine"
"KNOUFF LAKE",2012-01-31,38,1189,26,"Thompson-Nicola"
"NUTLI LAKE",2012-01-31,221,1502,33,"Bulkley-Nechako"
"KIDPRICE LAKE",2012-01-31,349,1415,35,"Bulkley-Nechako"
"HUDSON BAY MTN.",2012-01-31,189,1452,31,"Bulkley-Nechako"
"ELK RIVER",2012-02-01,23,270,33,"Central Kootenay"
"WAHLEACH LAKE",2012-02-02,157,1395,30,"Fraser Valley"
"NAHATLATCH RIVER",2012-02-02,336,1530,35,"Fraser Valley"
"FORT ST. JOHN AIRPORT",2012-02-02,31,692,19,"Peace River"
"DEASE LAKE",2012-02-02,47,805,14,"Kitimat-Stikine"
"MISSION RIDGE",2012-02-03,147,1850,32,"Squamish-Lillooet"
"GRAYSTOKE LAKE",2012-02-09,83,1818,23,"Central Okanagan"
"TACHEK CREEK",2012-02-23,103,1133,26,"Bulkley-Nechako"
"HAMILTON HILL",2012-02-25,113,1477,29,"Okanagan-Similkameen"
"BIG CREEK",2012-02-26,15,1130,15,"Cariboo"
"PRINCE GEORGE AIRPORT",2012-02-27,55,684,24,"Fraser-Fort George"
"ANGLEMONT",2012-02-27,102,1168,31,"Columbia-Shuswap"
"SINCLAIR PASS",2012-02-27,61,1374,23,"East Kootenay"
"HANSARD",2012-02-28,63,622,27,"Fraser-Fort George"
"NAZKO",2012-02-28,37,1029,17,"Cariboo"
"PUNTZI MOUNTAIN",2012-02-28,18,939,24,"Cariboo"
"WAHLEACH LAKE",2012-02-28,184,1395,31,"Fraser Valley"
"FIELD",2012-02-28,62,1310,21,"East Kootenay"
"KICKING HORSE",2012-02-28,181,1648,15,"Columbia-Shuswap"
"BRENDA MINE",2012-02-28,102,1453,22,"Central Okanagan"
"MACDONALD LAKE",2012-02-28,118,1742,27,"Central Okanagan"
"WEDEENE RIVER SOUTH",2012-02-28,277,196,34,"Kitimat-Stikine"
"EQUITY MINE",2012-02-28,160,1434,29,"Bulkley-Nechako"
"LU LAKE",2012-02-28,133,1296,27,"Bulkley-Nechako"
"KNOUFF LAKE",2012-02-29,48,1189,26,"Thompson-Nicola"
"BURNS LAKE",2012-02-29,71,820,21,"Bulkley-Nechako"
"GRANITE MOUNTAIN",2012-02-29,74,1175,25,"Kootenay Boundary"
"FERNIE EAST",2012-02-29,114,1213,24,"East Kootenay"
"DUNCAN LAKE NO. 2",2012-02-29,68,662,25,"Bulkley-Nechako"
"TROUT CREEK",2012-02-29,93,1428,25,"Okanagan-Similkameen"
"TROUT CREEK (WEST)",2012-02-29,89,1430,26,"Okanagan-Similkameen"
"SUMMERLAND RESERVOIR",2012-02-29,95,1304,25,"Okanagan-Similkameen"
"PINE PASS",2012-02-29,407,1439,40,"Peace River"
"PAVILION",2012-03-01,26,1209,19,"Thompson-Nicola"
"DEADMAN RIVER",2012-03-01,59,1463,25,"Thompson-Nicola"
"ABERDEEN LAKE",2012-03-01,64,1262,23,"North Okanagan"
"NELSON",2012-03-01,128,952,23,"Central Kootenay"
"VASEUX CREEK",2012-03-01,56,1403,19,"Okanagan-Similkameen"
"ISLAHT LAKE",2012-03-01,112,1492,21,"Central Okanagan"
"GERMANSEN (UPPER)",2012-03-01,128,1489,30,"Bulkley-Nechako"
"JOHANSON LAKE",2012-03-01,110,1480,27,"Kitimat-Stikine"
"CARMI",2012-03-02,61,1254,20,"Kootenay Boundary"
"BIRD CREEK",2012-03-02,65,1196,24,"Bulkley-Nechako"
"MOUNT WELLS",2012-03-02,187,1489,34,"Bulkley-Nechako"
"SKINS LAKE",2012-03-02,36,877,25,"Bulkley-Nechako"
"GRAYSTOKE LAKE",2012-03-02,122,1818,24,"Central Okanagan"
"KIDPRICE LAKE",2012-03-02,336,1415,39,"Bulkley-Nechako"
"BEAR PASS",2012-03-02,238,437,4,"Kitimat-Stikine"
"MOUNT TIMOTHY",2012-03-06,137,1632,24,"Cariboo"
"GOLDSTREAM",2012-03-07,358,1914,34,"Capital"
"ADAMS RIVER",2012-03-25,220,1769,37,"Columbia-Shuswap"
"LOST HORSE MOUNTAIN",2012-03-25,84,1988,29,"Okanagan-Similkameen"
"MISSEZULA MOUNTAIN",2012-03-25,84,1602,29,"Okanagan-Similkameen"
"LONGWORTH (UPPER)",2012-03-26,270,1693,43,"Fraser-Fort George"
"PACIFIC LAKE",2012-03-26,270,756,39,"Fraser-Fort George"
"HEDRICK LAKE",2012-03-26,259,1113,40,"Fraser-Fort George"
"KNUDSEN LAKE",2012-03-26,290,1598,44,"Fraser-Fort George"
"PENFOLD CREEK",2012-03-26,302,1687,39,"Cowichan Valley"
"BLUE RIVER",2012-03-26,120,673,32,"Thompson-Nicola"
"KEYSTONE CREEK",2012-03-26,270,1839,38,"Columbia-Shuswap"
"SUNBEAM LAKE",2012-03-26,308,2066,39,"Columbia-Shuswap"
"KIRBYVILLE LAKE",2012-03-26,334,1739,41,"Columbia-Shuswap"
"DOWNIE SLIDE (LOWER)",2012-03-26,221,964,39,"Columbia-Shuswap"
"DOWNIE SLIDE (UPPER)",2012-03-26,377,1628,42,"Columbia-Shuswap"
"MORFEE MOUNTAIN",2012-03-26,237,1427,42,"Fraser-Fort George"
"MOUNT SHEBA",2012-03-26,272,1480,43,"Fraser-Fort George"
"MONKMAN CREEK",2012-03-26,198,1566,40,"Fraser-Fort George"
"CHAPMAN LAKE",2012-03-26,176,1485,38,"Sunshine Coast"
"MCKENDRICK CREEK",2012-03-26,118,1048,31,"Bulkley-Nechako"
"KAZA LAKE",2012-03-27,143,1247,33,"Kitimat-Stikine"
"CANOE RIVER",2012-03-27,62,866,31,"Fraser-Fort George"
"LIGHTNING LAKE",2012-03-27,142,1254,31,"Okanagan-Similkameen"
"GERMANSEN (UPPER)",2012-03-27,145,1489,34,"Bulkley-Nechako"
"TUTIZZI LAKE",2012-03-27,122,1043,29,"Peace River"
"FREDRICKSON LAKE",2012-03-27,96,1323,27,"Peace River"
"TRYGVE LAKE",2012-03-27,141,1409,32,"Peace River"
"TSAYDAYCHI LAKE",2012-03-27,162,1173,35,"Bulkley-Nechako"
"PHILIP LAKE",2012-03-27,110,1013,32,"Thompson-Nicola"
"JOHANSON LAKE",2012-03-27,117,1480,29,"Kitimat-Stikine"
"MOUNT ABBOT",2012-03-28,403,2031,40,"Columbia-Shuswap"
"SULLIVAN MINE",2012-03-28,139,1580,27,"East Kootenay"
"CALLAGHAN CREEK",2012-03-28,290,1009,39,"Squamish-Lillooet"
"WARE (LOWER)",2012-03-28,84,969,26,"Peace River"
"PULPIT LAKE",2012-03-28,156,1331,33,"Peace River"
"LU LAKE",2012-03-28,129,1296,35,"Bulkley-Nechako"
"SIKANNI LAKE",2012-03-28,107,1390,27,"Peace River"
"JADE CITY",2012-03-28,94,943,27,"Kitimat-Stikine"
"PUNTZI MOUNTAIN",2012-03-29,0,939,NA,"Cariboo"
"FIDELITY MOUNTAIN",2012-03-29,400,1852,44,"Columbia-Shuswap"
"FERGUSON",2012-03-29,168,929,37,"Columbia-Shuswap"
"POSTILL LAKE",2012-03-29,88,1358,27,"Central Okanagan"
"MACDONALD LAKE",2012-03-29,124,1742,31,"Central Okanagan"
"POSTILL LAKE (UPPER)",2012-03-29,96,1500,29,"Central Okanagan"
"GROUSE MOUNTAIN",2012-03-29,388,1126,41,"Greater Vancouver"
"DOG MOUNTAIN",2012-03-29,356,1007,43,"Greater Vancouver"
"BROOKMERE",2012-03-30,86,994,26,"Thompson-Nicola"
"HORSEFLY MOUNTAIN",2012-03-30,139,1612,36,"Cariboo"
"LAC LE JEUNE (UPPER)",2012-03-30,64,1471,27,"Thompson-Nicola"
"DUFFEY LAKE",2012-03-30,190,1253,34,"Squamish-Lillooet"
"SHOVELNOSE MOUNTAIN",2012-03-30,109,1456,31,"Thompson-Nicola"
"WHITEROCKS MOUNTAIN",2012-03-30,164,1789,34,"Central Okanagan"
"ISINTOK LAKE",2012-03-30,77,1651,26,"Okanagan-Similkameen"
"ESPERON CR (UPPER)",2012-03-30,127,1634,30,"Central Okanagan"
"ESPERON CR (MIDDLE)",2012-03-30,100,1440,30,"Central Okanagan"
"OYAMA LAKE",2012-03-30,72,1365,24,"Central Okanagan"
"BIG WHITE MOUNTAIN",2012-03-31,153,1672,31,"Kootenay Boundary"
"KNOUFF LAKE",2012-03-31,52,1189,34,"Thompson-Nicola"
"TAHTSA LAKE",2012-03-31,438,1319,45,"Bulkley-Nechako"
"GLACIER",2012-03-31,247,1249,40,"Columbia-Shuswap"
"SILVER STAR MOUNTAIN",2012-03-31,204,1834,36,"North Okanagan"
"MOUNT KOBAU",2012-03-31,117,1817,27,"Okanagan-Similkameen"
"BOULEAU LAKE",2012-03-31,88,1405,28,"North Okanagan"
"KIDPRICE LAKE",2012-03-31,328,1415,54,"Bulkley-Nechako"
"ATLIN LAKE",2012-03-31,48,705,23,"Kitimat-Stikine"
"CHAR CREEK",2012-04-01,196,1290,32,"Central Kootenay"
"BEAVERFOOT",2012-04-02,107,1924,27,"Columbia-Shuswap"
"VERMONT CREEK",2012-04-02,178,1533,34,"Columbia-Shuswap"
"KIMBERLEY (MIDDLE) VOR",2012-04-02,146,1692,31,"Central Kootenay"
"FLOE LAKE",2012-04-02,288,2087,36,"East Kootenay"
"MOUNT JOFFRE",2012-04-02,188,1763,28,"East Kootenay"
"THUNDER CREEK",2012-04-02,165,2062,27,"East Kootenay"
"GRAY CREEK (LOWER)",2012-04-02,206,1558,31,"Central Kootenay"
"GRAY CREEK (UPPER)",2012-04-02,310,1926,34,"Central Kootenay"
"SUMMIT LAKE",2012-04-02,43,1291,13,"Central Kootenay"
"DEADWOOD RIVER",2012-04-02,65,1300,18,"Kitimat-Stikine"
"TUMEKA CREEK",2012-04-02,177,1220,40,"Kitimat-Stikine"
"KINASKAN LAKE",2012-04-02,143,1020,39,"Kitimat-Stikine"
"WADE LAKE",2012-04-02,138,1370,33,"Kitimat-Stikine"
"FARRON",2012-04-03,107,1229,29,"Central Kootenay"
"MCCULLOCH",2012-04-03,66,1266,29,"Central Okanagan"
"GRAYSTOKE LAKE",2012-04-03,139,1818,31,"Central Okanagan"
"MCGILLIVRAY PASS",2012-04-04,192,1715,41,"Squamish-Lillooet"
"BRALORNE",2012-04-04,70,1382,29,"Squamish-Lillooet"
"BRIDGE GLACIER (LOWER)",2012-04-04,238,1393,33,"Squamish-Lillooet"
"TYAUGHTON CREEK (NORTH)",2012-04-04,165,1946,33,"Squamish-Lillooet"
"STAVE LAKE",2012-04-04,511,1211,39,"Fraser Valley"
"GREYBACK RESERVOIR",2012-04-04,106,1548,28,"Okanagan-Similkameen"
"SUMALLO RIVER WEST",2012-04-04,130,801,35,"Fraser Valley"
"KLESILKWA",2012-04-04,124,1134,34,"Fraser Valley"
"HIGHLAND VALLEY",2012-04-05,54,1457,26,"Thompson-Nicola"
"GNAWED MOUNTAIN",2012-04-05,73,1617,27,"Thompson-Nicola"
"RECORD MOUNTAIN",2012-04-05,267,1906,30,"Kootenay Boundary"
"KIMBERLEY (UPPER) VOR",2012-04-05,213,2148,27,"Central Kootenay"
"FORBIDDEN PLATEAU",2012-04-05,586,1110,37,"Comox Valley"
"UPPER THELWOOD LAKE",2012-04-05,570,1014,38,"Strathcona"
"WOLF RIVER (MIDDLE)",2012-04-05,283,1050,29,"Strathcona"
"WOLF RIVER (LOWER)",2012-04-05,175,615,37,"Strathcona"
"MONASHEE PASS",2012-04-06,120,1387,31,"North Okanagan"
"BLUEJOINT MOUNTAIN",2012-04-06,214,1990,32,"Kootenay Boundary"
"ENDERBY",2012-04-06,290,1948,38,"North Okanagan"
"WHATSHAN (UPPER)",2012-04-06,196,1476,35,"Central Kootenay"
"BARNES CREEK",2012-04-06,166,1598,33,"North Okanagan"
"KOCH CREEK",2012-04-06,252,1813,33,"Central Kootenay"
"ST. LEON CREEK",2012-04-06,386,1828,37,"Central Kootenay"
"PALISADE LAKE",2012-04-10,414,898,45,"Greater Vancouver"
"ORCHID LAKE",2012-04-10,561,1178,44,"Greater Vancouver"
"GERMANSEN (UPPER)",2012-04-26,141,1489,36,"Bulkley-Nechako"
"JOHANSON LAKE",2012-04-26,111,1480,33,"Kitimat-Stikine"
"BUSH RIVER",2012-04-27,241,1982,47,"Columbia-Shuswap"
"MACDONALD LAKE",2012-04-27,113,1742,36,"Central Okanagan"
"WARE (UPPER)",2012-04-27,107,1563,26,"Peace River"
"MOUNT STEARNS",2012-04-27,82,1514,18,"Peace River"
"LU LAKE",2012-04-27,109,1296,40,"Bulkley-Nechako"
"LADY LAURIER LAKE",2012-04-28,212,1446,36,"Peace River"
"MOUNT ASSINIBOINE",2012-04-29,183,2230,42,"East Kootenay"
"MOUNT TEMPLEMAN",2012-04-29,276,1879,46,"Central Kootenay"
"MOUNT SWANNELL",2012-05-01,101,1596,31,"Bulkley-Nechako"
"KIDPRICE LAKE",2012-05-01,286,1415,50,"Bulkley-Nechako"
"BRALORNE (UPPER)",2012-05-02,208,1980,45,"Squamish-Lillooet"
"DOWNTOWN LAKE (UPPER)",2012-05-02,227,1884,45,"Squamish-Lillooet"
"MOUNT COKELY",2012-05-04,258,1267,46,"Nanaimo"
"WAHLEACH LAKE",2012-05-06,220,1395,42,"Fraser Valley"
"DICKSON LAKE",2012-05-06,433,1147,49,"Fraser Valley"
"TROPHY MOUNTAIN",2012-05-12,211,1907,43,"Thompson-Nicola"
"MOUNT CRONIN",2012-05-14,210,1491,42,"Bulkley-Nechako"
"YELLOWHEAD",2012-05-30,181,1860,53,"Fraser-Fort George"
"KIDPRICE LAKE",2012-06-01,216,1415,60,"Bulkley-Nechako"
"PUNTZI MOUNTAIN",2012-12-30,10,939,20,"Cariboo"
"WAHLEACH LAKE",2012-12-30,119,1395,26,"Fraser Valley"
"BUSH RIVER",2012-12-31,148,1982,32,"Columbia-Shuswap"
"FORT NELSON AIRPORT",2012-12-31,50,368,18,"Northern Rockies"
"BRALORNE (UPPER)",2013-01-03,97,1980,31,"Squamish-Lillooet"
"PHILIP LAKE",2013-01-03,76,1013,29,"Thompson-Nicola"
"FORT ST. JOHN AIRPORT",2013-01-07,58,692,20,"Peace River"
"DUNCAN LAKE NO. 2",2013-01-27,36,662,17,"Bulkley-Nechako"
"ANGLEMONT",2013-01-29,84,1168,29,"Columbia-Shuswap"
"ISINTOK LAKE",2013-01-29,64,1651,17,"Okanagan-Similkameen"
"SKINS LAKE",2013-01-30,41,877,21,"Bulkley-Nechako"
"SHOVELNOSE MOUNTAIN",2013-01-30,67,1456,30,"Thompson-Nicola"
"PHILIP LAKE",2013-01-30,83,1013,25,"Thompson-Nicola"
"KNOUFF LAKE",2013-01-31,55,1189,24,"Thompson-Nicola"
"TROUT CREEK (WEST)",2013-01-31,68,1430,31,"Okanagan-Similkameen"
"VASEUX CREEK",2013-01-31,51,1403,19,"Okanagan-Similkameen"
"WHATSHAN (UPPER)",2013-02-01,136,1476,31,"Central Kootenay"
"ISKUT",2013-02-01,46,931,17,"Kitimat-Stikine"
"FORBIDDEN PLATEAU",2013-02-02,281,1110,39,"Comox Valley"
"ELK RIVER",2013-02-02,22,270,37,"Central Kootenay"
"WOLF RIVER (LOWER)",2013-02-02,105,615,35,"Strathcona"
"FIELD",2013-02-04,42,1310,18,"East Kootenay"
"FORT ST. JOHN AIRPORT",2013-02-05,61,692,20,"Peace River"
"BOULEAU LAKE",2013-02-23,104,1405,27,"North Okanagan"
"ANGLEMONT",2013-02-24,95,1168,32,"Columbia-Shuswap"
"ABERDEEN LAKE",2013-02-25,55,1262,25,"North Okanagan"
"TROUT CREEK",2013-02-25,67,1428,29,"Okanagan-Similkameen"
"HANSARD",2013-02-26,125,622,29,"Fraser-Fort George"
"NELSON",2013-02-26,77,952,25,"Central Kootenay"
"SUMMERLAND RESERVOIR",2013-02-26,73,1304,25,"Okanagan-Similkameen"
"HAMILTON HILL",2013-02-26,73,1477,29,"Okanagan-Similkameen"
"WEDEENE RIVER SOUTH",2013-02-26,132,196,32,"Kitimat-Stikine"
"LIGHTNING LAKE",2013-02-26,96,1254,25,"Okanagan-Similkameen"
"PINE PASS",2013-02-26,295,1439,33,"Peace River"
"PRINCE GEORGE AIRPORT",2013-02-27,70,684,20,"Fraser-Fort George"
"HIGHLAND VALLEY",2013-02-27,47,1457,23,"Thompson-Nicola"
"LAC LE JEUNE (UPPER)",2013-02-27,60,1471,25,"Thompson-Nicola"
"PHILIP LAKE",2013-02-27,91,1013,27,"Thompson-Nicola"
"KNOUFF LAKE",2013-02-28,60,1189,25,"Thompson-Nicola"
"BROOKMERE",2013-02-28,55,994,31,"Thompson-Nicola"
"NAZKO",2013-02-28,34,1029,22,"Cariboo"
"GNAWED MOUNTAIN",2013-02-28,52,1617,23,"Thompson-Nicola"
"DUFFEY LAKE",2013-02-28,125,1253,31,"Squamish-Lillooet"
"SINCLAIR PASS",2013-02-28,32,1374,19,"East Kootenay"
"MCCULLOCH",2013-02-28,74,1266,24,"Central Okanagan"
"POSTILL LAKE",2013-02-28,67,1358,25,"Central Okanagan"
"POSTILL LAKE (UPPER)",2013-02-28,80,1500,27,"Central Okanagan"
"CALLAGHAN CREEK",2013-02-28,224,1009,33,"Squamish-Lillooet"
"MCKENDRICK CREEK",2013-02-28,81,1048,28,"Bulkley-Nechako"
"NINGUNSAW PASS",2013-02-28,119,647,28,"Kitimat-Stikine"
"SUMMIT LAKE",2013-02-28,53,1291,31,"Central Kootenay"
"BIG WHITE MOUNTAIN",2013-03-01,146,1672,29,"Kootenay Boundary"
"NUTLI LAKE",2013-03-01,106,1502,30,"Bulkley-Nechako"
"PAVILION",2013-03-01,27,1209,24,"Thompson-Nicola"
"DEADMAN RIVER",2013-03-01,66,1463,23,"Thompson-Nicola"
"GRANITE MOUNTAIN",2013-03-01,70,1175,26,"Kootenay Boundary"
"CANOE RIVER",2013-03-01,44,866,30,"Fraser-Fort George"
"CHAR CREEK",2013-03-01,136,1290,31,"Central Kootenay"
"OYAMA LAKE",2013-03-01,55,1365,20,"Central Okanagan"
"FORT ST. JOHN AIRPORT",2013-03-01,60,692,22,"Peace River"
"KIDPRICE LAKE",2013-03-01,186,1415,34,"Bulkley-Nechako"
"BEAR PASS",2013-03-01,155,437,33,"Kitimat-Stikine"
"TELEGRAPH CREEK",2013-03-01,50,490,23,"Kitimat-Stikine"
"TAHTSA LAKE",2013-03-02,249,1319,35,"Bulkley-Nechako"
"FERNIE EAST",2013-03-02,72,1213,31,"East Kootenay"
"FERGUSON",2013-03-02,142,929,33,"Columbia-Shuswap"
"CARMI",2013-03-03,49,1254,27,"Kootenay Boundary"
"RECORD MOUNTAIN",2013-03-03,212,1906,35,"Kootenay Boundary"
"MONASHEE PASS",2013-03-04,88,1387,32,"North Okanagan"
"BLUEJOINT MOUNTAIN",2013-03-04,204,1990,35,"Kootenay Boundary"
"BRALORNE",2013-03-04,61,1382,26,"Squamish-Lillooet"
"BRIDGE GLACIER (LOWER)",2013-03-04,138,1393,31,"Squamish-Lillooet"
"TYAUGHTON CREEK (NORTH)",2013-03-04,117,1946,12,"Squamish-Lillooet"
"KICKING HORSE",2013-03-04,102,1648,24,"Columbia-Shuswap"
"FARRON",2013-03-04,80,1229,32,"Central Kootenay"
"WHATSHAN (UPPER)",2013-03-04,158,1476,33,"Central Kootenay"
"BARNES CREEK",2013-03-04,137,1598,30,"North Okanagan"
"PALISADE LAKE",2013-03-04,349,898,42,"Greater Vancouver"
"FORBIDDEN PLATEAU",2013-03-04,366,1110,39,"Comox Valley"
"UPPER THELWOOD LAKE",2013-03-04,384,1014,41,"Strathcona"
"WOLF RIVER (MIDDLE)",2013-03-04,181,1050,38,"Strathcona"
"BEAVERFOOT",2013-03-05,69,1924,23,"Columbia-Shuswap"
"GRAY CREEK (LOWER)",2013-03-05,115,1558,32,"Central Kootenay"
"GROUSE MOUNTAIN",2013-03-05,357,1126,46,"Greater Vancouver"
"DOG MOUNTAIN",2013-03-05,333,1007,43,"Greater Vancouver"
"HORSEFLY MOUNTAIN",2013-03-06,156,1612,34,"Cariboo"
"DOWNIE SLIDE (LOWER)",2013-03-06,168,964,37,"Columbia-Shuswap"
"ISLAHT LAKE",2013-03-06,101,1492,28,"Central Okanagan"
"SANDON",2013-03-07,96,1072,28,"Central Kootenay"
"GRAYSTOKE LAKE",2013-03-08,107,1818,27,"Central Okanagan"
"SUMALLO RIVER WEST",2013-03-08,71,801,35,"Fraser Valley"
"PACIFIC LAKE",2013-03-26,239,756,38,"Fraser-Fort George"
"HEDRICK LAKE",2013-03-26,287,1113,37,"Fraser-Fort George"
"MCGILLIVRAY PASS",2013-03-26,132,1715,35,"Squamish-Lillooet"
"DOWNTOWN LAKE (UPPER)",2013-03-26,190,1884,36,"Squamish-Lillooet"
"GLACIER",2013-03-26,155,1249,43,"Columbia-Shuswap"
"GOLDSTREAM",2013-03-26,320,1914,39,"Capital"
"KEYSTONE CREEK",2013-03-26,222,1839,39,"Columbia-Shuswap"
"SUNBEAM LAKE",2013-03-26,248,2066,40,"Columbia-Shuswap"
"BUSH RIVER",2013-03-26,221,1982,39,"Columbia-Shuswap"
"KIRBYVILLE LAKE",2013-03-26,321,1739,41,"Columbia-Shuswap"
"GRAY CREEK (LOWER)",2013-03-26,131,1558,32,"Central Kootenay"
"GRAY CREEK (UPPER)",2013-03-26,222,1926,35,"Central Kootenay"
"GREYBACK RESERVOIR",2013-03-26,91,1548,28,"Okanagan-Similkameen"
"ORCHID LAKE",2013-03-26,417,1178,47,"Greater Vancouver"
"MORFEE MOUNTAIN",2013-03-26,217,1427,40,"Fraser-Fort George"
"MOUNT SHEBA",2013-03-26,265,1480,38,"Fraser-Fort George"
"MONKMAN CREEK",2013-03-26,210,1566,34,"Fraser-Fort George"
"HUDSON BAY MTN.",2013-03-26,128,1452,31,"Bulkley-Nechako"
"MCKENDRICK CREEK",2013-03-26,91,1048,29,"Bulkley-Nechako"
"KAZA LAKE",2013-03-27,110,1247,31,"Kitimat-Stikine"
"GNAWED MOUNTAIN",2013-03-27,57,1617,26,"Thompson-Nicola"
"STAVE LAKE",2013-03-27,353,1211,46,"Fraser Valley"
"WAHLEACH LAKE",2013-03-27,194,1395,40,"Fraser Valley"
"NAHATLATCH RIVER",2013-03-27,323,1530,42,"Fraser Valley"
"DICKSON LAKE",2013-03-27,421,1147,50,"Fraser Valley"
"FIDELITY MOUNTAIN",2013-03-27,321,1852,40,"Columbia-Shuswap"
"VERMONT CREEK",2013-03-27,125,1533,34,"Columbia-Shuswap"
"MOUNT ASSINIBOINE",2013-03-27,172,2230,34,"East Kootenay"
"MOUNT JOFFRE",2013-03-27,129,1763,33,"East Kootenay"
"THUNDER CREEK",2013-03-27,124,2062,30,"East Kootenay"
"MOUNT TEMPLEMAN",2013-03-27,281,1879,39,"Central Kootenay"
"BRENDA MINE",2013-03-27,83,1453,30,"Central Okanagan"
"POWELL RIVER (UPPER)",2013-03-27,196,1002,45,"Powell River"
"POWELL RIVER (LOWER)",2013-03-27,268,882,42,"Powell River"
"MOUNT COKELY",2013-03-27,227,1267,48,"Nanaimo"
"KLESILKWA",2013-03-27,87,1134,35,"Fraser Valley"
"TUTIZZI LAKE",2013-03-27,86,1043,27,"Peace River"
"FREDRICKSON LAKE",2013-03-27,84,1323,26,"Peace River"
"TSAYDAYCHI LAKE",2013-03-27,117,1173,31,"Bulkley-Nechako"
"PHILIP LAKE",2013-03-27,109,1013,30,"Thompson-Nicola"
"JOHANSON LAKE",2013-03-27,96,1480,28,"Kitimat-Stikine"
"TACHEK CREEK",2013-03-27,86,1133,28,"Bulkley-Nechako"
"LU LAKE",2013-03-27,93,1296,29,"Bulkley-Nechako"
"TELEGRAPH CREEK",2013-03-27,49,490,25,"Kitimat-Stikine"
"BIRD CREEK",2013-03-28,63,1196,27,"Bulkley-Nechako"
"MOUNT TIMOTHY",2013-03-28,115,1632,32,"Cariboo"
"WHATSHAN (UPPER)",2013-03-28,156,1476,34,"Central Kootenay"
"KOCH CREEK",2013-03-28,206,1813,36,"Central Kootenay"
"ST. LEON CREEK",2013-03-28,312,1828,39,"Central Kootenay"
"WARE (UPPER)",2013-03-28,102,1563,26,"Peace River"
"WARE (LOWER)",2013-03-28,77,969,25,"Peace River"
"PULPIT LAKE",2013-03-28,139,1331,32,"Peace River"
"FORT NELSON AIRPORT",2013-03-28,67,368,16,"Northern Rockies"
"ADAMS RIVER",2013-03-29,196,1769,39,"Columbia-Shuswap"
"CAVERHILL LAKE NEW",2013-03-29,87,NA,32,"Thompson-Nicola"
"ANGLEMONT",2013-03-29,87,1168,38,"Columbia-Shuswap"
"SULLIVAN MINE",2013-03-29,80,1580,30,"East Kootenay"
"WATAM LAKE",2013-03-30,155,1810,43,"Columbia-Shuswap"
"WHITEROCKS MOUNTAIN",2013-03-31,157,1789,38,"Central Okanagan"
"ESPERON CR (MIDDLE)",2013-03-31,94,1440,36,"Central Okanagan"
"BOULEAU LAKE",2013-03-31,97,1405,33,"North Okanagan"
"KNOUFF LAKE",2013-04-01,58,1189,30,"Thompson-Nicola"
"DUFFEY LAKE",2013-04-01,122,1253,44,"Squamish-Lillooet"
